entretener,er,te,NULL,te,n,2,0,0,0,tie,es,1,0,entretienes
entretener,er,te,NULL,te,n,3,0,0,0,tie,e,1,0,entretiene
entretener,er,te,NULL,te,n,3,1,0,0,tie,en,1,0,entretienen
entretener,er,te,NULL,te,n,2,0,0,2,tén,?,1,0,entretén
aparecer,er,re,NULL,re,c,1,0,0,0,rez,o,1,0,aparezco
aparecer,er,re,NULL,re,c,1,0,0,1,rez,a,1,0,aparezca
aparecer,er,re,NULL,re,c,2,0,0,1,rez,as,1,0,aparezcas
aparecer,er,re,NULL,re,c,3,0,0,1,rez,a,1,0,aparezca
aparecer,er,re,NULL,re,c,1,1,0,1,rez,amos,1,0,aparezcamos
aparecer,er,re,NULL,re,c,2,1,0,1,rez,áis,1,0,aparezcáis
aparecer,er,re,NULL,re,c,3,1,0,1,rez,an,1,0,aparezcan
aparecer,er,re,NULL,re,c,3,0,0,2,rez,a,1,0,aparezca
aparecer,er,re,NULL,re,c,1,1,0,2,rez,amos,1,0,aparezcamos
aparecer,er,re,NULL,re,c,3,1,0,2,rez,an,1,0,aparezcan
aprobar,ar,pro,p,ro,b,1,0,0,0,prue,o,1,0,apruebo
aprobar,ar,pro,p,ro,b,2,0,0,0,prue,as,1,0,apruebas
aprobar,ar,pro,p,ro,b,3,0,0,0,prue,a,1,0,aprueba
aprobar,ar,pro,p,ro,b,3,1,0,0,prue,an,1,0,aprueban
aprobar,ar,pro,p,ro,b,1,0,0,1,prue,e,1,0,apruebe
aprobar,ar,pro,p,ro,b,2,0,0,1,prue,es,1,0,apruebes
aprobar,ar,pro,p,ro,b,3,0,0,1,prue,e,1,0,apruebe
aprobar,ar,pro,p,ro,b,3,1,0,1,prue,en,1,0,aprueben
aprobar,ar,pro,p,ro,b,2,0,0,2,prue,a,1,0,aprueba
aprobar,ar,pro,p,ro,b,3,0,0,2,prue,e,1,0,apruebe
aprobar,ar,pro,p,ro,b,3,1,0,2,prue,en,1,0,aprueben
prohibir,ir,hi,NULL,hi,b,1,0,0,0,hí,o,1,0,prohíbo
prohibir,ir,hi,NULL,hi,b,2,0,0,0,hí,es,1,0,prohíbes
prohibir,ir,hi,NULL,hi,b,3,0,0,0,hí,e,1,0,prohíbe
prohibir,ir,hi,NULL,hi,b,3,1,0,0,hí,en,1,0,prohíben
prohibir,ir,hi,NULL,hi,b,1,0,0,1,hí,a,1,0,prohíba
